"game","year","era","Track.Number","Track.Title","Track.Length","Duration_sec"
"Halo",2001,"CD_Era",1,"Opening Suite","03:33:00",213
"Halo",2001,"CD_Era",2,"Truth and Reconciliation Suite","08:25:00",505
"Halo",2001,"CD_Era",3,"Brothers in Arms","01:29:00",89
"Halo",2001,"CD_Era",4,"Enough Dead Heroes","03:00:00",180
"Halo",2001,"CD_Era",5,"Perilous Journey","02:26:00",146
"Halo",2001,"CD_Era",6,"A Walk in the Woods","01:52:00",112
"Halo",2001,"CD_Era",7,"Ambient Wonder","01:56:00",116
"Halo",2001,"CD_Era",8,"The Gun Pointed at the Head of the Universe","02:26:00",146
"Halo",2001,"CD_Era",9,"Trace Amounts","01:51:00",111
"Halo",2001,"CD_Era",10,"Under Cover of Night","03:41:00",221
"Halo",2001,"CD_Era",11,"What Once Was Lost","01:39:00",99
"Halo",2002,"CD_Era",12,"Lament for Pvt. Jenkins","01:13:00",73
"Halo",2002,"CD_Era",13,"Devils… Monsters…","01:29:00",89
"Halo",2002,"CD_Era",14,"Covenant Dance","01:56:00",116
"Halo",2002,"CD_Era",15,"Alien Corridors","01:47:00",107
"Halo",2002,"CD_Era",16,"Rock Anthem for Saving the World","01:17:00",77
"Halo",2002,"CD_Era",17,"The Maw","01:05:00",65
"Halo",2002,"CD_Era",18,"Drumrun","01:00:00",60
"Halo",2002,"CD_Era",19,"On A Pale Horse","01:34:00",94
"Halo",2002,"CD_Era",20,"Perchance to Dream","00:59:00",59
"Metal Gear Solid",1998,"CD_Era",1,"Metal Gear Solid Main Theme","02:43:00",163
"Metal Gear Solid",1998,"CD_Era",2,"Introduction","00:57:00",57
"Metal Gear Solid",1998,"CD_Era",3,"Discovery","05:05:00",305
"Metal Gear Solid",1998,"CD_Era",4,"Cavern","03:12:00",192
"Metal Gear Solid",1998,"CD_Era",5,"Intruder 1","02:05:00",125
"Metal Gear Solid",1998,"CD_Era",6,"Encounter","02:21:00",141
"Metal Gear Solid",1998,"CD_Era",7,"Intruder 2","01:57:00",117
"Metal Gear Solid",1998,"CD_Era",8,"Warhead Storage","03:39:00",219
"Metal Gear Solid",1998,"CD_Era",9,"Intruder 3","02:56:00",176
"Metal Gear Solid",1998,"CD_Era",10,"Mantis' Hymn","02:57:00",177
"Metal Gear Solid",1998,"CD_Era",11,"Hind D","02:01:00",121
"Metal Gear Solid",1998,"CD_Era",12,"Duel","02:22:00",142
"Metal Gear Solid",1998,"CD_Era",13,"Enclosure","02:15:00",135
"Metal Gear Solid",1998,"CD_Era",14,"Blast Furnace","03:00:00",180
"Metal Gear Solid",1998,"CD_Era",15,"Colosseo","01:54:00",114
"Metal Gear Solid",1998,"CD_Era",16,"Rex's Lair","03:06:00",186
"Metal Gear Solid",1998,"CD_Era",17,"Escape","03:11:00",191
"Metal Gear Solid",1998,"CD_Era",18,"End Title / The Best Is Yet To Come","05:47:00",347
"Metal Gear Solid",1998,"CD_Era",19,"VR Training","02:38:00",158
"Super Mario 64",1997,"CD_Era",1,"It's-a Me, Mario!","00:04:00",4
"Super Mario 64",1997,"CD_Era",2,"Title Theme","03:31:00",211
"Super Mario 64",1997,"CD_Era",3,"Peach's Message","00:09:00",9
"Super Mario 64",1997,"CD_Era",4,"Opening","00:35:00",35
"Super Mario 64",1997,"CD_Era",5,"Super Mario 64 Main Theme","02:22:00",142
"Super Mario 64",1997,"CD_Era",6,"Slider","02:50:00",170
"Super Mario 64",1997,"CD_Era",7,"Inside the Castle Walls","02:00:00",120
"Super Mario 64",1997,"CD_Era",8,"Looping Steps","00:28:00",28
"Super Mario 64",1997,"CD_Era",9,"Dire, Dire Docks","03:06:00",186
"Super Mario 64",1997,"CD_Era",10,"Lethal Lava Land","02:44:00",164
"Super Mario 64",1997,"CD_Era",11,"Snow Mountain","02:58:00",178
"Super Mario 64",1997,"CD_Era",12,"Haunted House","03:06:00",186
"Super Mario 64",1997,"CD_Era",13,"Merry-Go-Round","01:01:00",61
"Super Mario 64",1997,"CD_Era",14,"Cave Dungeon","03:46:00",226
"Super Mario 64",1997,"CD_Era",15,"Piranha Plant's Lullaby","02:19:00",139
"Super Mario 64",1997,"CD_Era",16,"Powerful Mario","00:55:00",55
"Super Mario 64",1997,"CD_Era",17,"Metallic Mario","00:55:00",55
"Super Mario 64",1997,"CD_Era",18,"File Select","00:44:00",44
"Super Mario 64",1997,"CD_Era",19,"Correct Solution","00:06:00",6
"Super Mario 64",1997,"CD_Era",20,"Toad's Message","00:06:00",6
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",1,"Title Theme","02:49:00",169
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",2,"Deku Tree","01:20:00",80
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",3,"Fairy Flying","00:46:00",46
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",4,"House","01:11:00",71
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",5,"Kokiri Forest","01:51:00",111
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",6,"Shop","02:12:00",132
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",7,"Battle","02:13:00",133
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",8,"Inside the Deku Tree","02:44:00",164
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",9,"Boss Battle","02:32:00",152
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",10,"Hyrule Field Main Theme","05:26:00",326
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",11,"Market","01:42:00",102
"The Legend of Zelda: Ocarina of Time",1998,"CD_Era",12,"Hyrule Castle Courtyard","01:29:00",89
